# Lantern Extractor - Object Instances
# Format: ModelName, PosX, PosY, PosZ, RotX, RotY, RotZ, ScaleX, ScaleY, ScaleZ
torchpoint,109.0893,174.6466,4.0006,0,0,180,1,1,1
torchpoint,106.4922,-129.9488,3.750599,0,0,270,1,1,1
torchpoint,-355.5733,-105.356,33.98981,0,0,329.0625,1,1,1
torchpoint,-344.9094,-198.7949,5.251,0,0,52.03125,1,1,1
torchpoint,-249.2914,-181.9066,5.000599,0,0,333.2813,1,1,1
lightpole,89.51468,-103.4943,1.0006,0,0,30.9375,1,1,1
lightpole,170.6083,108.889,1.0006,0,0,209.5313,1,1,1
lightpole,114.9463,147.7983,0.0010008,0,0,177.8906,1,1,1
steam,27.79533,215.2414,3.751,0,0,92.8125,0.1,0.1,0.1
cazfire,27.58813,215.3606,0.0010002,0,0,325.5469,1,1,1
pawpal,-310.9109,17.9852,41.98421,0,0,272.8125,1.5,1.5,1.5
campfire,-325.2813,16.17583,41.98421,0,0,85.07813,1.25,1.25,1.25
bones3,6.126173,-264.8568,27.98981,0,0,270,1.5,1.5,1.5
bones2,-18.00869,-291.404,29.989,0,0,238.3594,1.5,1.5,1.5
bones3,-8.359102,-299.6352,29.989,0,0,307.2656,1.5,1.5,1.5
bones3,-59.04402,-275.6389,19.993,0,0,311.4844,1.5,1.5,1.5
bones2,-54.28119,-272.8207,19.993,0,0,196.875,1.5,1.5,1.5
mistgate,-13.02124,-237.9382,29.7394,0,93.51563,101.25,1,1,1
mistgate,-15.43547,-225.9714,28.22063,0,338.9063,245.3906,1,1,1
dedpine1,-38.78893,-325.4755,60.10854,0,0,259.4531,0.5,0.5,0.5
dedpine1,-39.01496,-295.0175,27.98981,0,0,222.1875,0.5,0.5,0.5
dedpine1,-74.19685,-287.7933,27.98981,0,0,74.53125,1,1,1
dedpine1,16.48358,-303.013,27.98981,0,0,351.5625,0.75,0.75,0.75
dedpine1,11.15759,-325.5881,49.68802,0,0,81.5625,0.5,0.5,0.5
dedpine1,79.58881,-282.3474,51.73756,0,0,157.5,0.5,0.5,0.5
dedpine1,46.44837,-282.3848,27.98981,0,0,175.7813,0.75,0.75,0.75
dedpine1,1.874235,-194.6198,27.98981,0,0,305.8594,0.75,0.75,0.75
dedpine1,-26.36389,-189.6287,27.98981,0,0,322.7344,0.5,0.5,0.5
tree1,76.05441,-192.0304,27.98981,0,0,62.57813,1.5,1.5,1.5
tree1,81.15076,-163.1139,0.0010002,0,0,292.5,1.5,1.5,1.5
tree1,164.5164,-116.2925,0.2443228,0,0,220.7813,1.75,1.75,1.75
tree1,153.9144,-169.1912,0.0010002,0,0,345.2344,1,1,1
tree1,165.897,-164.02,1.139668,0,0,299.5313,1.5,1.5,1.5
tree16,17.69073,16.82738,0.0010002,0,0,55.54688,1,1,1
tree16,-16.02803,-2.741114,-4.749,0,0,120.9375,1,1,1
tree1,-12.95683,-16.15458,-4.249,0,0,302.3438,1.25,1.25,1.25
gpine,-103.4627,-185.0898,27.98981,0,0,300.9375,0.5,0.5,0.5
gpine,-61.98711,-153.6027,7.093226,0,0,63.28125,0.75,0.75,0.75
gpine,-186.1192,-206.3824,0.001002,0,0,324.1406,0.75,0.75,0.75
gpine,-213.0492,-150.1799,0.0009995,0,0,25.3125,0.5,0.5,0.5
gpine,-242.1846,-127.4527,31.63826,0,0,280.5469,0.5,0.5,0.5
gpine,-184.2506,-79.90452,0.0009989,0,0,160.3125,0.75,0.75,0.75
tree20,-207.9753,33.96067,41.98421,0,0,90,1.75,1.75,1.75
tree20,-199.8148,40.53039,41.98421,0,0,220.0781,1,1,1
tree20,-195.4339,23.96924,41.98421,0,0,182.1094,1.25,1.25,1.25
tree20,-211.5277,-23.17546,41.98421,0,0,196.1719,1,1,1
tree20,-194.034,-31.62121,41.98421,0,0,206.0156,1.5,1.5,1.5
shovel2,-40.86318,-273.8814,27.98981,0,21.79688,65.39063,0.75,0.75,0.75
gpine,-234.6565,111.5423,13.31552,0,0,77.34375,0.75,0.75,0.75
gpine,-111.1914,140.9296,0.2695848,0,0,155.3906,1,1,1
gpine,120.4099,193.0477,2.405715,0,0,203.2031,1,1,1
gpine,147.2384,52.82878,0.0010002,0,0,215.8594,0.5,0.5,0.5
gpine,104.5729,131.4017,0.0009994,0,0,68.90625,0.75,0.75,0.75
tent1,7.845665,235.9468,0.0010002,0,0,271.4063,1.25,1.25,1.25
rug4,8.214145,223.201,0.1010001,0,0,4.921875,2.25,2.25,2.25
tree20,33.32264,255.4243,23.5719,0,0,112.5,1.75,1.75,1.75
tree20,29.23322,233.4568,0.0010002,0,0,34.45313,1.25,1.25,1.25
cart,-14.71944,237.9414,0.0010005,0,0,71.01563,1,1,1
crateb,-12.03999,228.5394,0.0009999,0,0,35.15625,1.25,1.25,1.25
cratea,-15.8738,235.0619,2.662373,0,353.6719,69.60938,1.25,1.25,1.25
crateb,-13.66466,240.7634,5.900586,0,238.3594,242.5781,1,1,1
gpine,-13.22038,212.1297,0.0009996,0,0,118.125,0.75,0.75,0.75
